CS10110,dap,0
CS10110,lgt,0
CS10110,mfc1,0
CS10410,dap,0
CS10410,nkn,0
CS10720,thj10,0
CS12020,aos,0
CS12320,cwl,0
CS12510,afc,0
CS15010,hmd1,0
CS15020,ais,0
CS18010,fwl,0
CS18010,hmd1,0
CS20410,afc,0
CS20410,fwl,0
CS21120,ltt,0
CS21120,ncm,0
CS21120,rcs,0
CS22120,bpt,0
CS22120,cjp,0
CS22120,dap,0
CS22310,nwh,0
CS22510,ffl,0
CS22510,job46,0
CS23710,dap,0
CS23710,fwl,0
CS24110,yyl,0
CS25010,ais,0
CS25010,jjr6,0
CS25110,ais,0
CS25110,jig,0
CS25110,spk,0
CS25210,hmd1,0
CS25410,thj10,0
CS25710,cos,0
CS25710,nns,0
CS26110,rkj,0
CS26210,elt7,0
CS26210,mxw,0
CS26410,mxw,0
CS26410,ttb7,0
CS27020,eds,0
CS27020,nkn,0
CS27510,rcs,0
CS28310,eds,0
CS31310,eds,0
CS32310,bpt,0
CS32310,hoh,0
CS34110,ffl,0
CS34110,yyl,0
CS35710,mjn,0
CS35810,ais,0
CS35810,jig,0
CS35810,spk,0
CS35910,ais,0
CS35910,jig,0
CS35910,spk,0
CS36110,cul,0
CS36110,yyl,0
CS36410,mjn,0
CS36410,mxw,0
CS36510,dpb,0
CS37420,cwl,0
CS37420,nst,0
CS38110,rcs,0
CS38220,mfb,0
CS38220,rrp,0
CS39820,rrp,0
